study,stim,target_user,qlabel,targ_agg,s2m,targ_agg2
1,followers,20,intelligent,3.3,0,3.3
1,followers,20,lazy,2.1,0,2.1
1,followers,20,lazy_r,3.9,0,3.9
1,followers,20,nervous,2.5,0,2.5
1,followers,20,neu,2.4,0,2.4
1,followers,20,ope,3.45,0,3.45
1,followers,20,outgoing,4.2,0,4.2
1,followers,20,relaxed,3.7,0,3.7
1,followers,20,relaxed_r,2.3,0,2.3
1,followers,20,reserved,2.4,0,2.4
1,followers,20,reserved_r,3.6,0,3.6
1,followers,20,selfesteem,3.7,0,3.7
1,followers,20,ses,7,0,7
1,followers,20,thorough,3.6,0,3.6
1,followers,20,trusting,4,0,4
1,followers,20,trustworthy,3.5,0,3.5
1,followers,21,actimag,3.3,0,3.3
1,followers,21,age,30.6,0,30.6
1,followers,21,agr,3.4,0,3.4
1,followers,21,arrogant,2.3,0,2.3
1,followers,21,assertive,3,0,3
1,followers,21,attractive,2.7,0,2.7
1,followers,21,centerattn,2.9,0,2.9
1,followers,21,cold,2.3,0,2.3
1,followers,21,cold_r,3.7,0,3.7
1,followers,21,con,3.65,0,3.65
1,followers,21,ext,3.65,0,3.65
1,followers,21,fewartint,2.8,0,2.8
1,followers,21,fewartint_r,3.2,0,3.2
1,followers,21,funny,3.1,0,3.1
1,followers,21,ilike,3,0,3
1,followers,21,impulsive,2.8,0,2.8
1,followers,21,intelligent,3.2,0,3.2
1,followers,21,lazy,2.4,0,2.4
1,followers,21,lazy_r,3.6,0,3.6
1,followers,21,nervous,2.1,0,2.1
1,followers,21,neu,2.4,0,2.4
1,followers,21,ope,3.25,0,3.25
1,followers,21,outgoing,3.6,0,3.6
